,stdev
sh600000,0.01654596624737317
sh600004,0.021716715305634255
sh600006,0.027361890675352475
sh600007,0.023680844678915243
sh600008,0.02492966343634732
sh600009,0.02168022955925018
sh600010,0.02815554600409789
sh600011,0.023256808251264083
sh600012,0.023438528972449336
sh600015,0.01661692547489994
sh600016,0.01608265383273041
sh600017,0.022012575369624584
sh600018,0.022875898055514016
sh600019,0.02219014142546638
sh600020,0.02115648846927733
sh600021,0.02707977253174852
sh600022,0.02403283091876335
sh600023,0.02055305087311561
sh600025,0.022891251846061077
sh600026,0.026483992471517448
sh600027,0.022857074293275194
sh600028,0.015947455367357838
sh600029,0.025100053951557753
sh600030,0.024012529852141643
sh600031,0.024920161354664645
sh600032,0.047128598722975146
sh600033,0.017634462393547618
sh600035,0.02229462423991054
sh600036,0.01852632208476121
sh600037,0.02691941109560347
sh600038,0.02789737703092617
sh600039,0.025722692971878163
sh600048,0.02553062272738797
sh600050,0.021701700748032626
sh600051,0.027320844399966435
sh600052,0.02962720134500842
sh600053,0.032538271414601035
sh600054,0.020972071753929112
sh600055,0.031768326331684464
sh600056,0.02607574917224254
sh600057,0.02821310677788822
sh600058,0.02858623011976344
sh600059,0.024538321984202992
sh600060,0.027202821468213793
sh600061,0.02945994000714069
sh600062,0.022774541529978175
sh600063,0.028888744820095024
sh600064,0.02268118277064304
sh600066,0.021850926007337214
sh600067,0.025685483861805906
sh600070,0.030646807577848486
sh600071,0.03138724080393511
sh600072,0.03195335480672618
sh600073,0.02556346740766644
sh600075,0.028184624387464018
sh600076,0.02817864602905248
sh600077,0.030146996068051338
sh600078,0.03141666918671194
sh600079,0.02550436586208067
sh600080,0.027713223770522235
sh600081,0.030874908754723304
sh600082,0.029127119611329733
sh600083,0.02975448529773403
sh600084,0.029079776268772246
sh600085,0.0230429160538443
sh600088,0.03136299870262683
sh600089,0.023957704544564574
sh600090,0.028090745853067898
sh600091,0.024024226300078902
sh600093,0.03228364558650049
sh600094,0.0266673713769741
sh600095,0.0334045691951349
sh600096,0.03121402274143482
sh600097,0.025430264817692477
sh600098,0.023287098099930664
sh600099,0.02551811914896653
sh600100,0.026617147017890953
sh600101,0.026216557905393706
sh600103,0.025770568221545134
sh600104,0.021177090697302028
sh600105,0.03154731726966828
sh600106,0.02420587744669643
sh600107,0.03047056876921542
sh600108,0.026515351630478145
sh600109,0.02862980638335802
sh600110,0.03120334015064071
sh600111,0.030197771337664384
sh600112,0.0331868590568489
sh600113,0.0330481459035185
sh600114,0.030559201394139566
sh600115,0.025053316624518013
sh600116,0.0283819581812004
sh600117,0.028866268080218922
sh600118,0.027873974010107494
sh600119,0.03347055927525518
sh600120,0.02795803156182034
sh600121,0.03013808810862258
sh600122,0.028069342607936525
sh600123,0.026050842393568488
sh600125,0.026112323637094793
sh600126,0.027725179072162952
sh600127,0.028028967029504685
sh600128,0.029235915926443597
sh600129,0.02930436377209824
sh600130,0.030598188049260813
sh600131,0.030443177451777628
sh600132,0.028586637045318913
sh600133,0.03010801176625687
sh600135,0.030651869941330182
sh600136,0.03365815421173692
sh600137,0.026643381077157132
sh600138,0.023091338643892838
sh600139,0.03264151930987252
sh600141,0.02983629043152609
sh600143,0.02709066128706185
sh600146,0.04016582102366004
sh600148,0.031192223717646198
sh600149,0.03200327712442396
sh600150,0.029635692655847114
sh600151,0.03037285575521519
sh600152,0.034075967033952104
sh600153,0.021879244378724034
sh600155,0.030004103725912706
sh600156,0.03167595664007919
sh600157,0.029560257424381644
sh600158,0.033698485313822954
sh600159,0.02603686993841004
sh600160,0.030394942698735355
sh600161,0.02782973006266134
sh600162,0.028231144460871604
sh600163,0.028025637413718527
sh600165,0.033523205103067825
sh600166,0.025412849239786175
sh600167,0.025584562826610514
sh600168,0.024445877919218168
sh600169,0.027192540437024747
sh600170,0.022939460649594637
sh600171,0.032193272214757054
sh600172,0.0324702758009562
sh600173,0.028076379729649374
sh600176,0.0280072520927912
sh600177,0.0197574155449837
sh600178,0.030941112220104695
sh600179,0.03145101339476461
sh600180,0.029951273497682528
sh600182,0.022213656752740518
sh600183,0.026496651368319097
sh600184,0.02939819823002461
sh600185,0.030896671975544354
sh600186,0.0262013699879706
sh600187,0.02787977325298915
sh600188,0.030401764793079752
sh600189,0.02996561203337086
sh600190,0.024419352258565757
sh600191,0.03144136453882768
sh600192,0.028816525827683234
sh600193,0.03114637653693333
sh600195,0.026136745081724786
sh600196,0.02669950026165993
sh600197,0.02883205907282687
sh600198,0.0356321268392192
sh600199,0.030154454223544496
sh600200,0.03144577591213677
sh600201,0.02376119136124201
sh600202,0.0285152393185529
sh600203,0.030416009543110127
sh600206,0.03240731467147031
sh600207,0.03212123266440011
sh600208,0.024835720066837444
sh600209,0.03419709983923629
sh600210,0.027082115476472417
sh600211,0.029825516092133
sh600212,0.03220046461320792
sh600213,0.03181428365812223
sh600215,0.02792061286017285
sh600216,0.02559147045248932
sh600217,0.02748838229755266
sh600218,0.030849927924886316
sh600219,0.02323250666216921
sh600220,0.02639864422641345
sh600221,0.02276449180626625
sh600222,0.027986406524120523
sh600223,0.030910583846165223
sh600225,0.03265143029460654
sh600226,0.029413182473450872
sh600227,0.027708277469255253
sh600228,0.034242614934729944
sh600229,0.028489023588633405
sh600230,0.033313469492094835
sh600231,0.0272441042903845
sh600232,0.02915966649821405
sh600233,0.029281781962331898
sh600234,0.0316662703694984
sh600235,0.028730427570805676
sh600236,0.021699085897043575
sh600237,0.030202211470564715
sh600238,0.030533941355644852
sh600239,0.029630499072747996
sh600241,0.02984510200288627
sh600242,0.03230268205714795
sh600243,0.030663994971028945
sh600246,0.027080519611758003
sh600248,0.027670771943144566
sh600249,0.02774942654691684
sh600250,0.0318275036612159
sh600251,0.027988647355675734
sh600252,0.024928204556385853
sh600255,0.030411122284981853
sh600256,0.025301360121947388
sh600257,0.03194254272076123
sh600258,0.02721082462480075
sh600259,0.03206513068436622
sh600260,0.0321706048288742
sh600261,0.0243298919238195
sh600262,0.027725922986414988
sh600265,0.02325736301352497
sh600266,0.02407417431102585
sh600267,0.026910762139837275
sh600268,0.031091357028602128
sh600269,0.016855339173521233
sh600271,0.025702821598478413
sh600272,0.031116250348527833
sh600273,0.02985667626636384
sh600275,0.030895854630633324
sh600276,0.020979602337685123
sh600277,0.02783525646514708
sh600278,0.02956479770026076
sh600279,0.02573309387993966
sh600280,0.029595169683391116
sh600281,0.02997633557203256
sh600282,0.02450134256155569
sh600283,0.028716290665796985
sh600284,0.02513380763592673
sh600285,0.02498918856023376
sh600287,0.02855564432423366
sh600288,0.031249564771148815
sh600289,0.029854455835209938
sh600290,0.030458376913672494
sh600291,0.03211175441077243
sh600292,0.02846101064499546
sh600293,0.030919646216822617
sh600295,0.030459512608407967
sh600297,0.027131200892793847
sh600298,0.025602578463677177
sh600299,0.027263713008808324
sh600300,0.028051590639180512
sh600301,0.02552587199555347
sh600302,0.02714932800119211
sh600303,0.03194011696449336
sh600305,0.026260520197183366
sh600306,0.03031312410548067
sh600307,0.025364312762316016
sh600308,0.022255808110706037
sh600309,0.024932180443218748
sh600310,0.028333315619871974
sh600311,0.02876726604331761
sh600312,0.025506058421992578
sh600313,0.032177393923011784
sh600315,0.023172439737745264
sh600316,0.03227291481572676
sh600318,0.03718002358406784
sh600319,0.027041933461888105
sh600320,0.022925146069831828
sh600321,0.028616383089523068
sh600322,0.025392927484666608
sh600323,0.023358208259946403
sh600325,0.02489489809106772
sh600326,0.028502023577904972
sh600327,0.026796072233697142
sh600328,0.030175869349174565
sh600329,0.025671640853815327
sh600330,0.0319289382668299
sh600331,0.03114390624213952
sh600332,0.026276282654315808
sh600333,0.026434016661946017
sh600335,0.030014571870197987
sh600336,0.029607925991186834
sh600337,0.02603849165309372
sh600338,0.03655218086803215
sh600339,0.02854138383193972
sh600340,0.029031701366002007
sh600343,0.02977974236350603
sh600345,0.029985087692269412
sh600346,0.029034658964441833
sh600348,0.0275600534017114
sh600350,0.02022662749317457
sh600351,0.0254233009349913
sh600352,0.025609542558980812
sh600353,0.03092429958703782
sh600354,0.032251496594509925
sh600355,0.030944584350075646
sh600356,0.02136631093831433
sh600358,0.03129647814080884
sh600359,0.03249990635436055
sh600360,0.03002750950114379
sh600361,0.02553655156084007
sh600362,0.025866235962815298
sh600363,0.030897235249263293
sh600365,0.0270922637318851
sh600366,0.029743163211804736
sh600367,0.031170839963888183
sh600368,0.02523015789035677
sh600369,0.025346734987688913
sh600370,0.02714200667349936
sh600371,0.03285731754044927
sh600372,0.028272025325477863
sh600373,0.02687596562916543
sh600375,0.029538316290365203
sh600376,0.025986514521671784
sh600377,0.014766126751466595
sh600378,0.0306914043490908
sh600379,0.03135498993510456
sh600380,0.027763806912637787
sh600381,0.0352869321987831
sh600382,0.026660463439437683
sh600383,0.025899286058910863
sh600385,0.03503646389757957
sh600386,0.028537422319889677
sh600387,0.028376414546423496
sh600388,0.025490369223923476
sh600389,0.0319974545058709
sh600390,0.029220606103674242
sh600391,0.03255200847151282
sh600392,0.03504632083244435
sh600393,0.030074075281745754
sh600395,0.028445045183919025
sh600396,0.028757653733461994
sh600397,0.031299194530172866
sh600398,0.02219152192939149
sh600399,0.03277841936232311
sh600400,0.026520732972575196
sh600403,0.027723178780914678
sh600405,0.03193756378854394
sh600406,0.026626163097036006
sh600408,0.02682306373983691
sh600409,0.02813939796642409
sh600410,0.03186380241785062
sh600415,0.026215724198136926
sh600416,0.031123929613171196
sh600418,0.03057574136983128
sh600419,0.028812228462986672
sh600420,0.024364916988843514
sh600421,0.03091027439935495
sh600422,0.02662713777391098
sh600423,0.028056154508255035
sh600425,0.029910553257428776
sh600426,0.02701061479879743
sh600428,0.02798625933585502
sh600429,0.024953703585855032
sh600433,0.029545718711083475
sh600435,0.030420056336541726
sh600436,0.024981916864741667
sh600438,0.031050751744857524
sh600439,0.02490334542497071
sh600444,0.02607157184884156
sh600446,0.034494061290375466
sh600448,0.02833418087596773
sh600449,0.027798127668461316
sh600452,0.027285839660313813
sh600455,0.030323121498813138
sh600456,0.02988917504399287
sh600458,0.03052270491251142
sh600459,0.030563858134969035
sh600460,0.033053371626263955
sh600461,0.020271496050671987
sh600462,0.02877386584479853
sh600463,0.03193701936680099
sh600466,0.030296088317614815
sh600467,0.025467403767060092
sh600468,0.028687246130913543
sh600469,0.02598577556229026
sh600470,0.030673627984326556
sh600475,0.026351153269496486
sh600476,0.03302385761330543
sh600477,0.028736122478892775
sh600478,0.03033579243324541
sh600479,0.023870870348031235
sh600480,0.030555566888294493
sh600481,0.02908658929448313
sh600482,0.02544023076972512
sh600483,0.0285871623170509
sh600486,0.027305173544852016
sh600487,0.027667203740599552
sh600488,0.02262854649330363
sh600489,0.023651164890268445
sh600490,0.0324790490043656
sh600491,0.029184436638658127
sh600493,0.03005808897717001
sh600495,0.02904508568293419
sh600496,0.02649349305299296
sh600497,0.028418426884872762
sh600498,0.0272411228112115
sh600499,0.029652271098930788
sh600500,0.025936759679745337
sh600501,0.02975798235483941
sh600502,0.026303738252654724
sh600503,0.031293889133357865
sh600505,0.028217825196648182
sh600506,0.031164213715540505
sh600507,0.028337189493849613
sh600508,0.023325348887890358
sh600509,0.02803860278681898
sh600510,0.02814982511758723
sh600511,0.026227786058935644
sh600512,0.025514063586922927
sh600513,0.029180497639344532
sh600515,0.030576151491625354
sh600516,0.030954460749561527
sh600517,0.02909226356049104
sh600518,0.026920012492109076
sh600519,0.019907521628852516
sh600520,0.03220616159824395
sh600521,0.028613667969321223
sh600522,0.02710074770937274
sh600523,0.030879541467459658
sh600525,0.028520872617262966
sh600526,0.02920150311922773
sh600527,0.026922962932134212
sh600528,0.026857369623167846
sh600529,0.02457199307117582
sh600530,0.02772865141202831
sh600531,0.029756275936404303
sh600532,0.03212450058958409
sh600533,0.02494412467606619
sh600535,0.020410397902305828
sh600536,0.035029020967100324
sh600537,0.03153391824375873
sh600538,0.028345844816354746
sh600539,0.024777125209588587
sh600540,0.031898212464875085
sh600543,0.029620079858491303
sh600545,0.028782023474424222
sh600546,0.03239629191899599
sh600547,0.02583680197080812
sh600548,0.0199078141808754
sh600549,0.028893806685370282
sh600550,0.02956137642743783
sh600551,0.02577011575982381
sh600552,0.031407816236185916
sh600555,0.028721373368034632
sh600556,0.0348275400145562
sh600557,0.024400830160467096
sh600558,0.02456587804106548
sh600559,0.0314007252647642
sh600560,0.0281747748048873
sh600561,0.02275993773355915
sh600562,0.028455555095528128
sh600563,0.02841826432767816
sh600565,0.024190765058248735
sh600566,0.027039244033246257
sh600567,0.022813135613257887
sh600568,0.030399084359586652
sh600569,0.02655089485424987
sh600570,0.03153161734984611
sh600571,0.0343643397379644
sh600572,0.023767255565355926
sh600573,0.027911363503067717
sh600575,0.024571905687227905
sh600576,0.03459900747078865
sh600577,0.029033315628988702
sh600578,0.022390254426514718
sh600579,0.03179715286532233
sh600580,0.02749606342719194
sh600581,0.03149337529764914
sh600582,0.025156716887598872
sh600583,0.023778555281546935
sh600584,0.03173308010222763
sh600585,0.022700061831179424
sh600586,0.02765424971081184
sh600587,0.02763736208950075
sh600588,0.032427463625458855
sh600589,0.0277848080518632
sh600590,0.02710538669370237
sh600592,0.02928901665075746
sh600593,0.02597962415871373
sh600594,0.02498157971815715
sh600595,0.027824858013204914
sh600596,0.03142695246923037
sh600597,0.02375086648061997
sh600598,0.02705006138020174
sh600599,0.03330103582298255
sh600600,0.021552520908016876
sh600601,0.026431824143228057
sh600602,0.027187728832128243
sh600603,0.02783067821202031
sh600604,0.033883382822760884
sh600605,0.027206659174645525
sh600606,0.028680441228464342
sh600608,0.025665132409745883
sh600609,0.029201832211582054
sh600610,0.03796376330708849
sh600611,0.02395245306449643
sh600612,0.02307753337567115
sh600613,0.03093929072018886
sh600615,0.02929573175918106
sh600616,0.027661547620615054
sh600617,0.025374859776116254
sh600618,0.030330980584903126
sh600619,0.028532619871793723
sh600620,0.030667705806709106
